reaction,name,lb,ub
IPPMIb,2-isopropylmalate hydratase,-1000.0,1000.0
IPPS,2-isopropylmalate synthase,0.0,1000.0
KAS13,B-ketoacyl synthetase (octadecanoate),0.0,1000.0
KAS17,B-ketoacyl synthetase (n-C18:1),0.0,1000.0
KAS7,B-ketoacyl synthetase (n-C16:1),0.0,1000.0
KAS8,"B-ketoacyl synthetase (palmitate, n-C16:0)",0.0,1000.0
KAT1,3-ketoacyl-CoA thiolase,0.0,1000.0
MACACI,Maleylacetoacetate isomerase,0.0,1000.0
MAN1PT,Mannose 1 phosphate guanylyltransferase,0.0,1000.0
MAN1PT2,Mannose-1-phosphate guanylyltransferase (GDP),0.0,1000.0
MCD,Malonyl-CoA Decarboxylase cytoplasmic,0.0,1000.0
MDRPD,5-Methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,0.0,1000.0
MEHLER,Mehler reaction,0.0,1000.0
MGSA,Methylglyoxal synthase,0.0,1000.0
MGt5,Magnesium transport in/out via permease (no H+),-1000.0,1000.0
MN6PP,Mannose 6-phosphate phosphatase,0.0,1000.0
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,0.0,1000.0
MTHFC,Methenyltetrahydrofolate cyclohydrolase,-1000.0,1000.0
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),-1000.0,1000.0
MTHFD2i,Methylenetetrahydrofolate dehydrogenase  NAD ,0.0,1000.0
MTRI,5-methylthioribose-1-phosphate isomerase,-1000.0,1000.0
MTRK,5-methylthioribose kinase,0.0,1000.0
NACODA,N-acetylornithine deacetylase,0.0,1000.0
NADDP,NAD diphosphatase,0.0,1000.0
NADHPO,NADH peroxidase,0.0,1000.0
NADK,NAD kinase,0.0,1000.0
NAPRT,NAPRTase (rev),-1000.0,1000.0
NARK,"Nitrite transport, extracellular",-1000.0,1000.0
NAabc,NAabc,0.0,1000.0
NAabcO,Sodium transport out via ABC system,0.0,1000.0
NAt3_1,Sodium proton antiporter  HNA is 11 ,0.0,1000.0
NAt6,NAt6,0.0,1000.0
NCAMUP,Nicotinamide acid uptake,-1000.0,1000.0
NDP3,Nucleoside diphosphatase  GDP ,0.0,1000.0
NDP7,Nucleoside diphosphatase  UDP ,0.0,1000.0
